package_name,usage_count,versions
eslint-plugin-svelte3,47,"^3.2.0,^2.7.3,2.7.3,^4.0.0,^3.0.0,^3.4.1,^3.2.1,4.0.0,^3.3.0,^3.1.0,^0.4.4"
@rollup/plugin-node-resolve,44,"^16.0.3,11.2.1,^7.0.0,^13.3.0,^8.0.0,^15.2.3,^6.0.0,^9.0.0,^8.0.1,11.2.0,^15.0.1,^11.2.1,^13.0.2,^11.0.0,^16.0.1,^15.1.0,15.0.1,catalog:,15.2.3,^15.0.0,^13.0.6,13.1.3"
jsdom,44,"^27.0.0,^26.1.0,^26.0.0,^13.0.0,^15.2.1,^6.5.1,^27.4.0,catalog:,^25.0.1,^27.3.0,^24.1.0,^24.0.0,22.1.0,^22.0.0,^21.1.1,^21.0.0,25.0.1,~22.1.0,^22.1.0,^27.2.0,25.0.0,^24.1.1,^15.1.1,^23.2.0,^9.6.0"
eslint-plugin-import,43,"2.22.1,^2.7.0,^2.32.0,^2.20.2,^2.22.1,^2.27.5,^2.26.0,^2.27.0,2.14.0,^2.20.1,2.29.0,^2.2.0,^2.29.1,^2.25.3,catalog:lint,^2.31.0,^2.28.1,^2.18.2,^2.8.0,2.x,^2.20.0,^2.24.2,^2.0.0,^1.14.0"
npm-run-all,39,"^4.1.5,4.1.5,^4.1.2"
react,38,"^19.0.0,^16.4,^18.3.1,^16.8.0,16.8.6,^18.1.0,^0.14.3,^16.9.0,^16.8.6,^16.0.0,^17.0.2,^18.2.0,19.0.0-rc-cc1ec60d0d-20240607,19.1.0,^19.2.0,^18.0.0,~18.2.0,^19.2.1,^19.2.3,^18,19.2.1"
@eslint/compat,37,"^1.2.5,^1.4.0,catalog:lint,^1.4.1,^1.3.2,^2.0.0,^1.2.4,1.2.8,^1.1.1,2.0.0,^1.2.9,^1.2.3,^1.2.7,1.4.0,^1.2.8"
@svitejs/changesets-changelog-github-compact,36,"^1.2.0,^1.1.0,catalog:,catalog:tooling,^0.1.1"
cross-env,36,"^7.0.2,^7.0.3,^1.0.5,10.0.0,^10.1.0,^6.0.0,^10.0.0,^5.2.0,^4.0.0,10.1.0"
@rollup/plugin-commonjs,35,"18.0.0,^12.0.0,^15.1.0,^13.0.0,^25.0.0,^22.0.2,^11.0.0,^19.0.1,^23.0.2,^14.0.0,^17.0.0,^25.0.7,^25.0.3,^24.0.0,24.0.0,^26.0.1,^29.0.0,17.1.0,^23.0.0,^21.0.1,21.0.1,^23.0.4,11.0.2"
@babel/core,34,"^7.0.0,7.9.6,^7.1.5,^7.11.1,^7.20.2,^7.4.5,7.2.2,^7.7.5,7.12.3,^7.10.2,^7.20.12,^7.23.7,7.8.7,^7.25.2,^7.24.7,7.28.4,^7.12.3,^7.14.8,^7.24.6,^7.17.5,8.0.0-alpha.4,^7.22.10,^7.28.0,7.23.2,^7.15.0,^7.22.20,^7.14.5"
@sveltejs/adapter-vercel,34,"^5.1.0,^2.1.0,^6.1.1,^2.4.3,^5.10.2,^5.6.3,^5.0.0,^5.6.1,^6.2.0,^6.0.0,catalog:svelte,^6.1.2,^5.8.1,^5.5.2,^5.10.3,^4.0.4,^4.0.0,^4.0.5,5.1.0,5.4.1,^1.0.0-next.28,next,^5.3.2"
@sveltejs/package,34,"^2.3.7,^2.0.0,^2.3.12,^2.1.0,^2.3.2,^2.5.4,^2.5.7,^2.2.5,^2.3.1,^2.5.0,2.5.7,1.0,2.3.12"
jest,33,"^26.2.2,^27.2.1,^25.2.7,^29.0.1,^24.7.1,^28.1.0,23.6.0,^24.9.0,26.6.0,^29.7.0,^30.2.0,30.1.3,^26.6.2,^26.6.3,29.7.0,^30.0.0-alpha.1,~29.3.1,30.0.5,^29.0.0,^27.0.0,^29.5.0,^28.1.1,^27.5.1,^25.5.1"
