contributor,follows,target_followers
trueadm,dfilatov,225
trueadm,localvoid,195
trueadm,Bobris,150
trueadm,WolframHempel,138
trueadm,Havunen,124
trueadm,charypar,120
trueadm,tlvince,97
trueadm,nightwolfz,70
trueadm,briandipalma,62
trueadm,simo101,54
trueadm,Ganners,46
trueadm,dchambers,37
trueadm,sarahfwood,27
trueadm,dogoku,26
trueadm,avsmithy,21
trueadm,fopsdev,19
trueadm,lozlow,17
trueadm,thomas-gilbert,17
trueadm,AndyLyons,9
trueadm,markhankins,9
trueadm,vegetableman,0
