login,name,profile_url,bio,public_repos,followers,following,commits_last_year,contributed_repos
brittneypostma,Brittney Postma,https://github.com/brittneypostma,"Svelte enthusiast crafting component libraries and design systems. Background in graphic design, passionate about accessibility-first development and fluid UXUI",246,323,112,0,0
grischaerbe,Grischa Erbe,https://github.com/grischaerbe,"🚀 Freelance Fullstack Engineer with formal design training 🎨 3D web maestro, translating design dreams into digital realities 🌐 Creator of @threlte 💡",25,116,28,0,0
ghostdevv,Willow (GHOST),https://github.com/ghostdevv,Well when life gives you lemons,176,234,96,0,0
juliusmarminge,Julius Marminge,https://github.com/juliusmarminge,"🇸🇪. Founding Engineer @pingdotgg 🇺🇸, Open Source 🌍",256,1988,30,0,0
stordahl,Jacob Størdahl,https://github.com/stordahl,,50,100,110,0,0
Peter-512,Peter Buschenreiter,https://github.com/Peter-512,Software Engineer at DataCamp | Applied Computer Science graduate at Karel de Grote Hogeschool | SvelteKit enthusiast,42,18,20,0,0
huntabyte,Hunter Johnston,https://github.com/huntabyte,To define is to limit.,156,1824,24,0,0
vitest-dev,Vitest,https://github.com/vitest-dev,A blazing fast unit test framework powered by Vite,6,646,0,0,0
rauchg,Guillermo Rauch,https://github.com/rauchg,,139,16346,882,0,0
mourner,Volodymyr Agafonkin,https://github.com/mourner,"Engineer at @mapbox, building mapping tools of the future. Creator of @Leaflet. Algorithms geek, rock musician, baker, father of twin girls, Ukrainian 🇺🇦",80,6093,294,0,0
buhrmi,Stefan Buhrmester,https://github.com/buhrmi,,42,88,2,0,0
manucorporat,Manu MA,https://github.com/manucorporat,,142,2818,26,0,0
adamdbradley,Adam Bradley,https://github.com/adamdbradley,"Director of Technology at BuilderIO, working an working on Generative AI. Previously  
http://ionicframework.com/ 
https://stenciljs.com/ ",88,1799,30,0,0
EricSimons,Eric Simons,https://github.com/EricSimons,https://esft.com,38,944,6,0,0
patak-dev,patak,https://github.com/patak-dev,Matias Capeletto • @vitejs Core Team • @vitest-dev @elk-zone Team,53,3104,97,0,0
angus-c,angus croll,https://github.com/angus-c,"TV @ Netflix / Author ""If Hemingway Wrote JavaScript"" / Wrote Official Babel Song ",112,1561,12,0,0
stolinski,Scott Tolinski,https://github.com/stolinski,Syntax.fm,160,3729,61,0,0
markdalgleish,Mark Dalgleish,https://github.com/markdalgleish,"🦄 CSS Modules co-creator / 💿 @remix-run at @shopify 🛍️ / 🧁 Vanilla Extract / Creator of Braid, Playroom / MelbJS organiser / dad x4",258,3262,80,0,0
raineorshine,Raine Revere,https://github.com/raineorshine,I design and build augmented sensemaking tools. 🧠🧜‍♀️🔮,340,1144,98,0,0
steve8708,Steve Sewell,https://github.com/steve8708,"Founder, CEO - Builder.io",129,1248,4,0,0
marvinhagemeister,Marvin Hagemeister,https://github.com/marvinhagemeister,I like simple and fast things,332,1682,36,0,0
cassidoo,Cassidy Williams,https://github.com/cassidoo,Making memes and dreams... and software,178,14452,105,0,0
GrygrFlzr,Martin Krisnanto Putra,https://github.com/GrygrFlzr,Contributor to @sveltejs and @vitejs ,57,116,0,0,0
RedHatter,Ava Johnson,https://github.com/RedHatter,,105,49,4,0,0
ije,Je Xia,https://github.com/ije,,19,628,32,0,0
bautistaaa,,https://github.com/bautistaaa,engineer @ netflix,61,1293,11,0,0
brunosimon,Bruno Simon,https://github.com/brunosimon,,82,21186,0,0,0
TrySound,Bogdan Chadkin,https://github.com/TrySound,Building open source web apps full time. Available for hire.,206,1059,2,0,0
joshwcomeau,Joshua Comeau,https://github.com/joshwcomeau,"Software developer.
Makes stuff.",230,7688,26,0,0
wheatjs,wheat,https://github.com/wheatjs,Electrical Engineer & Software Developer,51,569,74,0,0
mattgperry,Matt Perry,https://github.com/mattgperry,Author of Motion.,9,1618,1,0,0
benawad,Ben Awad,https://github.com/benawad,Voidpet cofounder • ex-youtuber,256,29089,4,0,0
uloco,Umut Topuzoğlu,https://github.com/uloco,"Curious about all the things!
Founder. Software Engineer. Visual artist. Musician. Lifelong Learner. Multipod.",102,59,23,0,0
pastelsky,Shubham Kanodia,https://github.com/pastelsky,A maker 🛫 along the design-development continuum. ,138,992,4,0,0
ealush,Evyatar,https://github.com/ealush,,60,301,62,0,0
d3lm,Dominic Elm,https://github.com/d3lm,Founding Engineer and Team Lead @StackBlitz • Building WebContainer • GDE • JavaScript stuff • Node.js • Rust 🦀 • Deep Learning 🤖 • Cyclist 🚴‍,44,503,74,0,0
okikio,Okiki Ojo,https://github.com/okikio,"Prev. @vercel; Maintainer on @withastro; Creator of bundlejs.com & inthistweet.app.

My student projects are located at @okikio-school",125,336,204,0,0
johnjacobkenny,Kenny John Jacob,https://github.com/johnjacobkenny,"Full stack web developer. Love to build solutions to problems. Enjoy mentoring and guiding juniors, and improving developer happiness and productivity 💙",33,31,8,0,0
zeucapua,zeudev,https://github.com/zeucapua,software engineer | tech content,59,349,67,0,0
lydiahallie,Lydia Hallie,https://github.com/lydiahallie,,62,14828,0,0,0
meganrogge,Megan Rogge,https://github.com/meganrogge,,42,398,1,0,0
SimonHoiberg,Simon Høiberg,https://github.com/SimonHoiberg,Software Engineer ‧ Business Owner ‧ Starter,22,885,16,0,0
basuke,Basuke Suzuki,https://github.com/basuke,Software Engineer. WebKit reviewer.,109,74,12,0,0
rui314,Rui Ueyama,https://github.com/rui314,,46,6401,8,0,0
kazupon,kazuya kawaguchi,https://github.com/kazupon,"software engineer, @vuejs core team member, creator of gunshi, @intlify & i18n enthusiast, vue fes japan & @vuejs-jp organizer, and wasm love",334,4251,458,0,0
whitphx,Yuichiro Tachibana (Tsuchiya),https://github.com/whitphx,"Software Artisan, Indie Dev, OSS Enthusiast",149,687,20,0,0
thvinmei,T.H.,https://github.com/thvinmei,なんか色々作って遊んだものを公開してる場所。,30,9,15,0,0
jonhoo,Jon Gjengset,https://github.com/jonhoo,"Rust educational streamer. At @helsing-ai. Previously at AWS. A fan of making things secure, fast, scalable, and well-documented.",260,13092,5,0,0
ShogunPanda,Paolo Insogna,https://github.com/ShogunPanda,"@nodejs TSC Member, Principal Engineer at @platformatic, Polyglot Developer. RPG and LARP addicted and nerd on lot more. Surrounded by lovely chubby cats.",69,284,5,0,0
raphlinus,Raph Levien,https://github.com/raphlinus,,86,2291,0,0,0
BurntSushi,Andrew Gallant,https://github.com/BurntSushi,I love to code.,181,11647,3,0,0
pachacamac,Marc,https://github.com/pachacamac,"In love with web technologies, AI, data analysis, open soft- and hardware, computer vision, robotics, complex simplicity, thinking differently, traveling.",85,144,192,0,0
gka,Gregor Aisch,https://github.com/gka,"Senior visual data journalist @ZeitOnline, Co-founder @Datawrapper, proud @nytgraphics alumni. most of my old repos live at @vis4 now",43,1257,86,0,0
chenyang78,Yang Chen,https://github.com/chenyang78,,12,52,0,0,0
faultyserver,Jon,https://github.com/faultyserver,web platform @discord | head of event production @GamesDoneQuick,51,90,24,0,0
jellysquid3,JellySquid,https://github.com/jellysquid3,"Professional idiot at day, maniac programmer by night.",16,0,0,0,0
emeryberger,Emery Berger,https://github.com/emeryberger,"Professor of Computer Science, UMass Amherst; Amazon Scholar. Co-director of @plasma-umass, Scalene, Slipcover, Coz, Hoard, and more. Creator of CSrankings.",76,1433,18,0,0
ccurtsinger,Charlie Curtsinger,https://github.com/ccurtsinger,Associate Professor of Computer Science at Grinnell College,17,125,16,0,0
gboeing,Geoff Boeing,https://github.com/gboeing,"Urban planning professor at USC: geospatial data science, urban networks, information landscapes",66,2767,82,0,0
rafaelalmeidatk,Rafael Almeida,https://github.com/rafaelalmeidatk,"Learning how to break stuff in different ways. Interested in TS, React, GraphQL, and security.",73,264,10,0,0
jerber,Jeremy Berman,https://github.com/jerber,post-training @reflectionai. prev @ndea and co-founder of @beatgig. yc w19.,31,94,15,0,0
higsch,Matthias Stahl,https://github.com/higsch,Designer 🟣 developer 🔵 scientist ,101,336,433,0,0
tropicaaal,Tropical,https://github.com/tropicaaal,"systems programmer and frontend developer 🌴


studying CS at Auburn University",37,272,60,0,0
arctic-hen7,Sam Brew,https://github.com/arctic-hen7,I can occasionally convince myself that I know what I'm doing.,55,100,15,0,0
github,GitHub,https://github.com/github,How people build software.,530,66020,0,0,0
WebReflection,Andrea Giammarchi,https://github.com/WebReflection,"Web, Mobile, IoT and all Web & JS things since 00's",589,2270,2,0,0
mozilla,Mozilla,https://github.com/mozilla,This technology could fall into the right hands.,2501,10046,0,0,0
douglascrockford,Douglas Crockford,https://github.com/douglascrockford,"I was born in Frostbite Falls, Minnesota. I left when I was 6 months old because it was too damn cold.

My latest book is _A Million And One Random Digits_.",20,21920,2,0,0
nolanlawson,Nolan Lawson,https://github.com/nolanlawson,,468,3352,40,0,0
BrendanEich,Brendan Eich,https://github.com/BrendanEich,"Founder & CEO, Brave Software. Created JavaScript. Co-founded Mozilla and Firefox.",13,6530,5,0,0
transitive-bullshit,Travis Fischer,https://github.com/transitive-bullshit,"My heart is open source 💕 

Formerly @amzn, @microsoft",345,4449,232,0,0
amasad,Amjad Masad,https://github.com/amasad,ceo @ repl.it,146,2294,33,0,0
jeffpar,Jeff Parsons,https://github.com/jeffpar,"Writer of software, consumer of technology and the occasional doughnut.",38,442,83,0,0
torvalds,Linus Torvalds,https://github.com/torvalds,,9,270353,0,0,0
trumank,Truman Kilen,https://github.com/trumank,,89,174,11,0,0
Mojang,Mojang,https://github.com/Mojang,,86,3468,0,0,0
raspberrypi,Raspberry Pi,https://github.com/raspberrypi,,100,6403,0,0,0
slicedlime,slicedlime (Mikael Hedberg),https://github.com/slicedlime,Tech Lead for Minecraft Java Platform at Mojang Studios.,23,576,0,0,0
tc39,Ecma TC39,https://github.com/tc39,"Ecma International, Technical Committee 39 - ECMAScript",317,9560,0,0,0
SethBling,SethBling,https://github.com/SethBling,,10,584,0,0,0
copy,Fabian,https://github.com/copy,,95,2349,1,0,0
ryansolid,Ryan Carniato,https://github.com/ryansolid,,86,3710,26,0,0
as-com,Andrew Sun,https://github.com/as-com,,156,95,11,0,0
gnh1201,"Namhyeon, Go",https://github.com/gnh1201,Your watermelon OPEN UP!,223,218,683,0,0
PullJosh,Josh Pullen,https://github.com/PullJosh,I love education and technology!,59,164,72,0,0
elebumm,Lewis Menelaws,https://github.com/elebumm,"Dad, Husband, Coder and Creator.",76,2629,35,0,0
griffpatch,,https://github.com/griffpatch,,11,857,1,0,0
t3dotgg,Theo Browne,https://github.com/t3dotgg,"I'm just here for the vibes, man",125,16256,58,0,0
TheLogFather,Aka DadOfMrLog,https://github.com/TheLogFather,,1,38,0,0,0
